estimator,halflife,delta,r2,ssr
Sample,5,0.8706,0.13415286125319847,171.222215396217
Sample,10,0.933,0.13446693283659206,171.16010739828624
Sample,21,0.9675,0.13515890711993817,171.023268729554
Sample,42,0.9836,0.1358399043066736,170.88860079364073
Sample,63,0.9891,0.13589499618540635,170.87770631457528
LW,5,0.8706,0.1791686843370517,115.00022571495491
LW,10,0.933,0.17960052706894714,114.93972362311985
LW,21,0.9675,0.1805680131778441,114.80417674670788
LW,42,0.9836,0.18151904643645644,114.6709349498662
LW,63,0.9891,0.18159856963009557,114.65979358008222
Gerber,5,0.8706,0.0905681861255303,170.7102533645587
Gerber,10,0.933,0.09064230109194782,170.69634117839783
Gerber,21,0.9675,0.09076300080312583,170.67368452843036
Gerber,42,0.9836,0.09097831983445248,170.63326680185514
Gerber,63,0.9891,0.09125441145740765,170.58144139813882
