crisis,estimator,r2_A,r2_B,r2_C,r2_D,gamma1,gamma2,tstat_g1,tstat_g2,pval_g1,pval_g2,gD_totalvar,gD_systshare,tD_totalvar,tD_systshare,pD_totalvar,pD_systshare,vif_C,gamma_beta,tstat_beta,n,r2_E,gE_size,tE_size,pE_size,gE_totalvar,gE_systshare,tE_totalvar,tE_systshare,pE_totalvar,pE_systshare
GFC,Sample,0.08796269998070716,0.02837372881239497,0.07407157220205562,0.07286846096922328,-30.081932864018363,11.985778808976761,-2.4960732174332896,1.3166824384032048,0.014379022295583521,0.19128814899047408,-7.065260176894626,-0.154871167661179,-2.00464573831251,-2.078283911172716,0.04800616212267017,0.0405304532711126,2.5155888225799785,-0.052373001583414264,-2.962536240453557,93,0.08129145326882425,0.008645471736034563,0.9033152181143445,0.3687970832518803,-7.971942873619357,-0.17163952828133833,-2.173343890132788,-2.232851121110574,0.03241001862754578,0.0280672080472697
GFC,LW,0.14726818002649233,0.04888398138154593,0.12667577672773878,0.14527566986358798,-29.409261615563498,11.670461596470886,-3.3571989917993683,1.7637791270226715,0.0011551760024375302,0.08116270794707092,-7.09706486997073,-0.17060652750664615,-2.802117353252455,-3.1858697432648775,0.006215842504664115,0.001983944476425581,2.5155888225799785,-0.05071918007964029,-3.9643219897500463,93,0.16208710497552237,0.009141499989210922,1.336281514566582,0.18486377154158373,-8.055767889932081,-0.18833696178582635,-3.0725650282545467,-3.427740064730103,0.0028161448864307825,0.0009235890639829325
GFC,Gerber,0.05302387274698228,0.024866865147916695,0.042032549110493145,0.0475701526216088,-27.231020655846798,7.359462789480615,-1.6557844330383442,0.5924465721671487,0.10124836862305919,0.5550371782241412,-8.483700699742085,-0.14841769686899034,-1.7702065927142825,-1.4647015137938786,0.080079095909803,0.14648692092936666,2.5155888225799785,-0.05455303922603808,-2.2572876369998958,93,0.052992155560746435,0.00930594341129715,0.7138354132539042,0.4771968184663362,-9.459649511483002,-0.16646707807059954,-1.8933302292306657,-1.5898562617462888,0.06156308357732265,0.11541336652313072
COVID,Sample,0.08549992480008894,0.025587711029689486,0.10435707259112259,0.07240322164386293,-168.75911723414234,80.9288671342499,-3.3584503644655617,1.7313202880248766,0.001121230635389825,0.08657406384498856,-40.5971904777115,-0.1899284960894284,-1.7406143547254243,-2.212590959756902,0.08492227554241993,0.02927154891858086,1.440645674772437,-0.12748924284731672,-3.0269415264030877,100,0.07296091463389798,0.0036309757610876966,0.24031683010797006,0.8105970835908498,-40.022195236378515,-0.1911378235675953,-1.6987775841256845,-2.212076885031997,0.09259984419477396,0.029332926699527917
COVID,LW,0.260617870246447,0.09157935484604507,0.2833185026948717,0.2251230942134691,-141.71264638965977,58.35539503813572,-6.138769238907487,2.71741508116476,1.819233563793432e-08,0.007793153269721298,-39.18470521784981,-0.1647442846613475,-3.579176201499212,-4.088662610358412,0.0005403020909051648,8.955371929464384e-05,1.440645674772437,-0.11431312956191002,-5.8773378831065735,100,0.22790061534372408,0.00416157557717372,0.5876621221954579,0.5581388903331552,-38.52568507814896,-0.1661303329384742,-3.488952538969036,-4.102150525922547,0.000733769774510673,8.5808584681768e-05
COVID,Gerber,0.08670511451218599,0.01805697954001506,0.1096005270889594,0.08418768334406512,-148.6044758453869,82.79901319571817,-3.4501782240776095,2.0665078931589567,0.0008309023991659448,0.04144532561204883,-30.064240347124947,-0.19405903719518722,-1.509023972652742,-2.6465749618989207,0.1345431214186381,0.00948870314194572,1.440645674772437,-0.11036975701739263,-3.050211001334636,100,0.08418855381520574,-0.0001233218407021796,-0.00955233998743309,0.9923982741203763,-30.08376938731191,-0.19401796380323083,-1.4944342158614892,-2.627873525186387,0.13834199736447017,0.010003897910124238
Rates,Sample,0.04813450986793166,0.02510199275659375,0.03190858830314802,0.03996332965973293,-96.36471953607246,-6.30962805330238,-1.4921594209629636,-0.10303354943279867,0.1389026654002392,0.9181490583429026,-43.47623605248033,-0.06805616792381337,-1.3735728973467265,-1.2253803053382106,0.1727406243712406,0.22339901146042496,1.3368759599832623,-0.05272057814937366,-2.22614538565863,100,0.06042733619935592,0.018921832175444686,1.4459915766986398,0.15143647291889328,-68.90956287545471,-0.07782123474608112,-1.9111554728004805,-1.398644578836863,0.0589677592911273,0.16514191766978148
Rates,LW,0.0838289210787787,0.04283550924326773,0.05607908815357554,0.07869799308160386,-93.25233563400596,-3.1526425694548386,-2.038777963848044,-0.07268799459394153,0.04419307052462518,0.9422040750777607,-39.62479439778843,-0.07582912854142039,-1.7816909272747201,-1.9431442477445031,0.07792916716149545,0.05489768906213799,1.3368759599832623,-0.04990294270907035,-2.9944818636094137,100,0.10962026090005095,0.016683257480855695,1.8259280095333377,0.07096969666122654,-62.04919474381165,-0.08443892502429318,-2.4646366056624056,-2.1734625738122815,0.015492724754806675,0.032205369809564566
Rates,Gerber,0.015026439698791694,0.013100996704767942,0.013520228051086436,0.013458579946551419,-86.36359483772225,-45.734246282985325,-0.7287394497455261,-0.40696853629098634,0.46791685490451584,0.684927730382932,-63.56286562023823,-0.019190965122769774,-1.0897322565389675,-0.18750669709335738,0.27853092386629164,0.8516550395938229,1.3368759599832623,-0.05354878479145607,-1.2227250166407264,100,0.02310812156924269,0.023620597603951632,0.973790893506974,0.3326077216843011,-95.31192528026816,-0.03138094291381125,-1.4260541494273533,-0.3042618411111996,0.1570965167011451,0.7615869670133109
